taxonID	property	value	remarks
3202	CITES	Appendix II	Appendix II:Excludes fossils.
3203	CITES	Appendix II	
3204	CITES	Appendix II	
3205	CITES	Appendix II	Appendix II:Included in SCANDENTIA spp.
3207	CITES	Appendix II	
3210	CITES	Appendix II	
3212	CITES	Appendix II	
3213	CITES	Appendix II	
3214	CITES	Appendix II	Appendix II:Excludes fossils.
3215	CITES	Appendix II	Appendix II:Excludes fossils.
3216	CITES	Appendix II	Appendix II:Excludes fossils.
3219	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3220	CITES	Appendix II	
3224	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3227	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3228	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3229	CITES	Appendix II	
3231	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3235	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3236	CITES	Appendix II	
3237	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3238	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3241	CITES	Appendix II	Appendix II:Excludes fossils.
3244	CITES	Appendix II	
3245	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3246	CITES	Appendix II	Appendix II:Excludes fossils.
3248	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3249	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3250	CITES	Appendix II	Appendix II:Formerly included in Bradypodion spp.
3252	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3254	CITES	Appendix II	Appendix II:Excludes fossils.
3256	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3259	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3260	CITES	Appendix II	
3261	CITES	Appendix II	
3262	CITES	Appendix II	Appendix II:Excludes fossils.
3263	CITES	Appendix II	
3266	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3267	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3268	CITES	Appendix II	Appendix II:Excludes fossils.
3269	CITES	Appendix II	
3271	CITES	Appendix II	
3272	CITES	Appendix II	
3273	CITES	Appendix II	Appendix II:Formerly included in Boidae spp.
3274	CITES	Appendix II	
3276	CITES	Appendix II	Appendix II:Excludes fossils.
3277	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3278	CITES	Appendix II	Appendix II:Excludes fossils.
3281	CITES	Appendix II	
3285	CITES	Appendix II	
3286	CITES	Appendix II	
3287	CITES	Appendix II	Appendix II:Excludes fossils.
3288	CITES	Appendix II	Appendix II:Excludes fossils.
3289	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3290	CITES	Appendix II	
3292	CITES	Appendix II	Appendix II:Formerly included in Boidae spp.
3293	CITES	Appendix II	Appendix II:Formerly included in Chamaeleo spp.
3294	CITES	Appendix II	Appendix II:Formerly included in Bradypodion spp.
3296	CITES	Appendix II	Appendix II:Excludes fossils.
3297	CITES	Appendix II	Appendix II:Included in SCANDENTIA spp.
3298	CITES	Appendix II	Appendix II:Formerly included in Chamaeleo spp.
3299	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3300	CITES	Appendix II	
3304	CITES	Appendix II	
3305	CITES	Appendix II	Appendix II:Excludes fossils.
3306	CITES	Appendix II	Appendix II:Excludes fossils.
3308	CITES	Appendix II	
3309	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3310	CITES	Appendix II	Appendix II:Excludes fossils.
3312	CITES	Appendix II	
3313	CITES	Appendix II	Appendix II:Formerly included in Bradypodion spp.
3315	CITES	Appendix II	Appendix II:Excludes fossils.
3316	CITES	Appendix II	
3320	CITES	Appendix II	Appendix II:Excludes fossils.
3321	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3323	CITES	Appendix II	
3327	CITES	Appendix II	Appendix II:Except the species included in Appendix I. Zero annual export quota for live specimens from the Black Sea population of Tursiops truncatus removed from the wild and traded for primarily commercial purposes.
3328	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3329	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3333	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3336	CITES	Appendix II	
3337	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3339	CITES	Appendix II	Appendix II:Excludes fossils.
3340	CITES	Appendix II	Appendix II:Excludes fossils.
3341	CITES	Appendix II	Appendix II:Excludes fossils.
3342	CITES	Appendix II	Appendix II:Excludes fossils.
3345	CITES	Appendix II	Appendix II:Excludes fossils.
3346	CITES	Appendix II	
3347	CITES	Appendix II	Appendix II:Excludes fossils.
3349	CITES	Appendix II	Appendix II:Excludes fossils.
3350	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3351	CITES	Appendix II	Appendix II:Included in Pythonidae spp.
3352	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3354	CITES	Appendix II	
3355	CITES	Appendix II	Appendix II:Excludes fossils.
3356	CITES	Appendix II	
3357	CITES	Appendix II	
3358	CITES	Appendix II	Appendix II:Formerly included in Bradypodion spp.
3359	CITES	Appendix II	Appendix II:Formerly included in Chamaeleo spp.
3360	CITES	Appendix II	
3362	CITES	Appendix II	Appendix II:Formerly included in Chamaeleo spp.
3363	CITES	Appendix II	Appendix II:Excludes fossils.
3366	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3367	CITES	Appendix II	Appendix II:Excludes fossils.
3368	CITES	Appendix II	
3369	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3371	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3373	CITES	Appendix II	Appendix II:Excludes fossils.
3377	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3378	CITES	Appendix II	
3379	CITES	Appendix II	
3380	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3381	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3384	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3386	CITES	Appendix II	Appendix II:Excludes fossils.
3389	CITES	Appendix II	Appendix II:Excludes fossils.
3390	CITES	Appendix II	Appendix II:Formerly included in Chamaeleo spp.
3391	CITES	Appendix II	Appendix II:Excludes fossils.
3394	CITES	Appendix II	
3397	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3400	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3401	CITES	Appendix II	Appendix II:Excludes fossils.
3405	CITES	Appendix II	Appendix II:Excludes fossils.
3406	CITES	Appendix II	Appendix II:Excludes fossils.
3408	CITES	Appendix II	Appendix II:Formerly included in Polyplectron malacense.
3409	CITES	Appendix II	Appendix II:Excludes fossils.
3410	CITES	Appendix II	Appendix II:Excludes fossils.
3411	CITES	Appendix II	Appendix II:Formerly included in Chamaeleo spp.
3413	CITES	Appendix II	Appendix II:Zero quota for wild specimens for commercial purposes.
3414	CITES	Appendix II	
3415	CITES	Appendix II	Appendix II:Excludes fossils.
3417	CITES	Appendix II	Appendix II:Excludes fossils.
3420	CITES	Appendix II	Appendix II:Excludes fossils.
3422	CITES	Appendix II	Appendix II:Excludes fossils.
3423	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3430	CITES	Appendix II	Appendix II:Excludes fossils.
3432	CITES	Appendix II	
3433	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3435	CITES	Appendix II	Appendix II:Excludes fossils.
3436	CITES	Appendix II	Appendix I:All populations except those included in Appendix II. Appendix II:Parts of populations of AR and CL, and the populations of BO, PE and EC. All other populations are included in Appendix I.
3441	CITES	Appendix II	Appendix II:Excludes fossils.
3445	CITES	Appendix II	Appendix II:Excludes fossils.
3449	CITES	Appendix II	Appendix II:Excludes fossils.
3451	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3452	CITES	Appendix II	
3453	CITES	Appendix II	
3454	CITES	Appendix II	Appendix II:Includes Brachypelmides.
3457	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3458	CITES	Appendix II	Appendix II:Excludes fossils.
3460	CITES	Appendix II	
3461	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3463	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3466	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3468	CITES	Appendix II	
3471	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3473	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3476	CITES	Appendix II	
3477	CITES	Appendix II	
3479	CITES	Appendix II	
3481	CITES	Appendix II	
3483	CITES	Appendix II	
3484	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3485	CITES	Appendix II	Appendix II:Excludes fossils.
3486	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3488	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3489	CITES	Appendix II	Appendix II:Excludes fossils.
3490	CITES	Appendix II	Appendix II:Formerly included in Boidae spp.
3492	CITES	Appendix II	Appendix II:Except Sceloglaux albifacies and the species included in Appendix I.
3493	CITES	Appendix II	
3498	CITES	Appendix II	Appendix II:Formerly included in Dendrobates spp.
3500	CITES	Appendix II	
3501	CITES	Appendix II	
