taxonID	name	language
3015	Aigle de Java	fra
3015	Javan Hawk-Eagle	eng
3015	Águila-azor de Java	spa
3018	Coral de encaje aplastado	spa
3018	Bladed Lace Coral	eng
3019	Palawan Hornbill	eng
3019	Calao de Palawan	fra
3019	Cálao de Palawan	spa
3020	Cotorra cuelliblanca	spa
3020	Conure à col blanc	fra
3020	White-necked Parakeet	eng
3020	White-necked Conure	eng
3020	Perico pechiblanco	spa
3020	White-breasted Parakeet	eng
3022	Águila-azor montañesa	spa
3022	Aigle montagnard	fra
3022	Mountain Hawk-Eagle	eng
3022	Hodgson's Hawk-Eagle	eng
3022	Feather-toed Hawk-Eagle	eng
3024	Uta Hick's Bearded Saki	eng
3029	Juan Fernández Fur Seal	eng
3029	Arctocéphale de Juan Fernandez	fra
3029	Oso marino de Chile	spa
3031	Cone-head chameleon	eng
3031	Caméléon casqué	fra
3031	Veiled Chameleon	eng
3031	Yemen chameleon	eng
3036	Carnero del Canadá	spa
3036	Mountain Sheep	eng
3036	Bighorn	fra
3036	Borrego cimarrón	spa
3036	Mouflon d'Amérique	fra
3036	Mouflon pachycère	fra
3036	Mouflon du Canada	fra
3036	Bighorn Sheep	eng
3036	Mexican Bighorn Sheep	eng
3036	Carnero salvaje	spa
3041	Métallure de Baron	fra
3041	Metalura de Azuay	spa
3041	Metalura gorjivioleta	spa
3041	Violet-throated Metaltail	eng
3046	Mushroom Coral	eng
3046	Common mushroom coral	eng
3050	Grey-headed Goshawk	eng
3050	New Britain Goshawk	eng
3050	Azor de Nueva Bretaña	spa
3050	Autour de Mayr	fra
3058	Russian Sturgeon	eng
3058	Osetr	eng
3058	Kura Sturgeon	eng
3058	Danube Sturgeon	eng
3058	Azov-Black Sea Sturgeon	eng
3058	Esturión del Danubio	spa
3058	Esturgeon du Danube	fra
3058	Esturgeon russe	fra
3058	Osciètre	fra
3060	Tarsier des Philippines	fra
3060	Phillipine tarsier	eng
3060	Philippine Tarsier	eng
3067	Rosenberg's Monitor	eng
3067	Sand Goanna	eng
3067	Black Sand Monitor	eng
3067	Varan de Rosenberg	fra
3067	Varano de Rosenberg	spa
3067	Southern heath monitor	eng
3067	Heath monitor	eng
3067	Varan des sables noir	fra
3069	Northern Pig-tailed Macaque	eng
3069	Northern pigtail macaque	eng
3071	Alabama Map Turtle	eng
3079	Pitón de Boelen	spa
3079	Black Python	eng
3079	Python de Boelen	fra
3079	Boelen's Python	eng
3081	Hooded Chameleon	eng
3081	Caméléon à capuchon	fra
3083	Tickell's Brown Hornbill	eng
3083	Calao brun	fra
3083	Assam Brown-backed Hornbill	eng
3083	Brown Hornbill	eng
3083	Cálao pardo de Tickell	spa
3085	Catita serrana común	spa
3085	Catita aimará	spa
3085	Perruche d'Aymara	fra
3085	Gray-hooded parakeet	eng
3085	Grey-hooded Parakeet	eng
3085	Sierra Parakeet	eng
3085	Toui aymara	fra
3086	Bronze-winged Parrot	eng
3086	Cotorra negra	spa
3086	Pione noire	fra
3086	Loro alibronceado	spa
3087	Orange-cheeked Parrot	eng
3087	Lorito carinaranja	spa
3087	Perico cachete amarillo	spa
3087	Caïque de Barraband	fra
3087	Barraband's Parrot	eng
3091	Violet-chested Hummingbird	eng
3091	Colibrí pechiazul	spa
3091	Colibri à poitrine violette	fra
3097	Rufous-cheeked Hummingbird	eng
3097	Colibri du Pirré	fra
3097	Pirre hummingbird	eng
3097	Colibrí del Pirre	spa
3100	Colibri circé	fra
3100	Broad-billed Hummingbird	eng
3100	Colibrí piquiancho	spa
3109	Autour des palombes	fra
3109	Azor	spa
3109	Azor común	spa
3109	Gavilán azor	spa
3109	Northern Goshawk	eng
3109	Goshawk	eng
3109	Eurasian goshawk	eng
3112	Geckos à queue plate d'Ebenau	fra
3112	Nosy Bé Flat-tailed Gecko	eng
3113	Madagascan flying fox	eng
3113	Madagascar Flying-fox	eng
3113	Madagascar Fruit Bat	eng
3113	Zorro volador de Madagascar	spa
3113	Renard volant	fra
3118	Elkhorn Coral	eng
3118	Corail cornes d'élan	fra
3118	Coral cuerno de alce	spa
3121	Vogelkop Tree-kangaroo	eng
3121	Dendrolague noir	fra
3121	White-throated Tree-kangaroo	eng
3121	Canguro arborícola negro	spa
3121	White-throated tree kangaroo	eng
3121	Canguro arbóreo negro	spa
3121	Black Tree-kangaroo	eng
3121	Ursine tree-kangaroo	eng
3121	Vogelkop tree kangaroo	eng
3124	Busardo carigrís	spa
3124	Grey-faced Buzzard-Eagle	eng
3124	Grey-faced Buzzard	eng
3124	Busautour à joues grises	fra
3134	Ermite vert	fra
3134	Green Hermit	eng
3134	Ermitaño verde	spa
3135	Takin	fra
3135	Himalayan takin	eng
3135	Takin	spa
3135	Takin	eng
3137	Black Girdled Lizard	eng
3137	Lézard à queue épineuse noir	fra
3137	Cordyle noir	fra
3138	Pygargue à ventre blanc	fra
3138	Pigargo oriental	spa
3138	Pygargue blagre	fra
3138	Pigargo de vientre blanco	spa
3138	White-bellied Sea-Eagle	eng
3138	White-bellied Fish-Eagle	eng
3138	White-bellied sea eagle	eng
3139	Equatorial Saki	eng
3139	Huapo	spa
3139	Mono volador	spa
3139	Huapo negro	spa
3139	Parahuaco ecuatorial	spa
3140	Blue Coral	eng
3149	Red-collared Sparrowhawk	eng
3149	New Britain Sparrowhawk	eng
3149	Épervier de Nouvelle-Bretagne	fra
3149	Bismarcks sparrowhawk	eng
3149	Gavilancito de Nueva Bretaña	spa
3149	Grey sparrowhawk	eng
3151	Camaleón de Boettger	spa
3151	Boettger's Chameleon	eng
3151	Caméléon de Boettger	fra
3159	Coleman's Pygmy Seahorse	eng
3160	Grooved Crust Coral	eng
3162	Red-capped Moustached Tamarin	eng
3164	Hooded Visorbearer	eng
3164	Colibri lumachelle	fra
3164	Colibrí lumaquela	spa
3165	Lesser Star Coral	eng
3169	Buse couronnée	fra
3169	Águila coronada	spa
3169	Crowned Solitary Eagle	eng
3169	Crowned Eagle	eng
3169	Águila de Azara	spa
3171	Colibri de Jardine	fra
3171	Velvet-purple Coronet	eng
3171	Colibrí sietecolores	spa
3171	Coronita aterciopelada	spa
3173	North-western Chameleon	eng
3173	Guibe's Chameleon	eng
3173	Caméléon de Guibé	fra
3174	Petite buse	fra
3174	Aguililla aluda	spa
3174	Busardo aliancho	spa
3174	Gavilán bebehumo	spa
3174	Broad-winged Hawk	eng
3184	Autillo chóliba	spa
3184	Curucucú común	spa
3184	Lechucita común	spa
3184	Petit-duc choliba	fra
3184	Tropical Screech-Owl	eng
3185	Caméléon nain épineux	fra
3185	Setaro's Dwarf Chameleon	eng
3188	Hector's Beaked Whale	eng
3188	Skew-beaked Whale	eng
3188	Ballena de pico de Héctor	spa
3188	Mesoplodon d'Hector	fra
3189	White-cheeked Mangabey	eng
3189	Gray-cheeked mangabey	eng
3189	Mangabey de mejillas grises	spa
3189	Lophocèbe à joues grises	fra
3189	Grey-cheeked Mangabey	eng
3193	Caméléon nain de Karro	fra
3193	Little karoo dwarf chameleon	eng
3193	Robertson dwarf chameleon	eng
3193	Robertson's Dwarf Chameleon	eng
3203	Black Knobby Newt	eng
3203	Granular newt	eng
3203	Mount Yao Newt	eng
3204	Varan de Duméril	fra
3204	Varano de Dumeril	spa
3204	Duméril's Monitor	eng
3204	Fish Lizard	eng
3205	Ruddy tree shrew	eng
3205	Tupaya de cola marrón	spa
3205	Ruddy Treeshrew	eng
3205	Rufous-tailed Treeshrew	eng
3207	Colibri anaïs	fra
3207	Colibrí orejivioleta grande	spa
3207	Colibrí rutilante	spa
3207	Picaflor ventriazul	spa
3207	Sparkling Violet-ear	eng
3207	Sparkling violetear	eng
3210	Diamante multicolor	spa
3210	Picaflor pequeño verde	spa
3210	Ariane versicolore	fra
3210	Versicolored Emerald	eng
3210	Amazilia versicolor	spa
3212	Northern Tree Gecko	eng
3212	Marlborough Green Gecko	eng
3213	Northern Medicinal Leech	eng
3213	Medicinal Leech	eng
3213	Sangsue Officinale	fra
3213	Sangsue médicinale	fra
3213	Sanguijuela medicinal del norte	spa
3213	European medicinal leech	eng
3213	Sanguijuela	spa
3214	Deepwater Hydrocoral	eng
3214	Hidrocoral de lo hondo	spa
3219	Blaze-winged Parakeet	eng
3219	Conure de Deville	fra
3219	Cotorra de Deville	spa
3219	Blaze-winged Conure	eng
3220	Colibrí de Allen	spa
3220	Zumbador de Allen	spa
3220	Allen's Hummingbird	eng
3220	Colibri d'Allen	fra
3224	Conure à tête bleue	fra
3224	Blue-crowned Conure	eng
3224	Cotorra de los Palos	spa
3224	Blue-crowned Parakeet	eng
3224	Carapaico	spa
3224	Aratinga cabeciazul	spa
3228	Carunculated Caracara	eng
3228	Caracara caronculé	fra
3228	Caracara carunculado	spa
3231	Búho americano	spa
3231	Lechuzón orejudo	spa
3231	Great Horned Owl	eng
3231	Nacurutú	spa
3231	Grand-duc d'Amérique	fra
3231	Búho cornudo	spa
3231	Búho	spa
3235	Perruche à bonnet bleu	fra
3235	Perico cariazul	spa
3235	Bluebonnet	eng
3236	Dendrolague gris	fra
3236	Grizzled Tree-kangaroo	eng
3236	Grizzled tree kangaroo	eng
3236	Canguro arbóreo gris	spa
3236	Canguro arborícola gris	spa
3238	Ninoxe à sourcils blancs	fra
3238	White-browed Owl	eng
3238	White-browed Boobook	eng
3238	Madagascar Hawk-Owl	eng
3238	Nínox malgache	spa
3244	Black-tailed Marmoset	eng
3246	Oculine ivoire robuste	fra
3246	Robust Ivory Tree Coral	eng
3246	Coral robusto de marfil	spa
3248	Marsh Owl	eng
3248	Hibou des marais africain	fra
3248	Hibou du Cap	fra
3248	African Marsh Owl	eng
3248	Lechuza mora	spa
3248	Búho moro	spa
3249	Gavilancito muslirrojo	spa
3249	Red-thighed Sparrowhawk	eng
3249	Épervier de Hartlaub	fra
3249	Epervier de hartlaub	fra
3249	Red-legged sparrowhawk	eng
3249	Gavilancito de Hartlaub	spa
3249	Western little sparrowhawk	eng
3249	Autour minulle	fra
3250	Mount mabu chameleon	eng
3252	Cotorrita de Sclater	spa
3252	Sclater's Parrotlet	eng
3252	Toui de Sclater	fra
3252	Dusky-billed Parrotlet	eng
3252	Periquito obscuro	spa
3256	Amazone à face jaune	fra
3256	Yellow-faced Parrot	eng
3256	Amazona de cara amarilla	spa
3256	Yellow-faced Amazon	eng
3256	Amazona del cerrado	spa
3259	Pigargo gigante	spa
3259	Pigargo de Steller	spa
3259	Pygargue de Steller	fra
3259	Steller's sea eagle	eng
3259	Pygargue empereur	fra
3259	Steller's Sea-Eagle	eng
3260	Feathery Bottle-brush Black Coral	eng
3260	Cepillo de botella plumoso	spa
3261	Géoémyde de Spengler	fra
3261	Tortuga hoja de pecho negro	spa
3261	Black-breasted Leaf Turtle	eng
3261	Black-breasted hill turtle	eng
3262	Pacific Rose Coral	eng
3262	Cat's-eye Coral	eng
3267	Spectacled Owl	eng
3267	Búho de anteojos	spa
3267	Chouette à lunettes	fra
3267	Lechuzón de anteojos	spa
